기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","",7025954.3,86853993,790254.5,18597775,68256218
"2022-01","870323","실린더용량이 1,500시시 초과 3,000시시 이하인 것",124740.1,1337122,13320.7,268447,1068675
"2022-01","870324","실린더용량이 3,000시시를 초과하는 것",30624.6,493218,1349.5,69284,423934
"2022-01","870350","그 밖의 차량[압축점화식 피스톤 내연기관(디젤이나 세미디젤)과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것은 제외한다]",15.2,115,1273.1,29935,-29820
"2022-01","870360","그 밖의 차량(불꽃점화식 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것으로 한정한다)",7023.2,125277,1144.6,24451,100826
"2022-02","870323","실린더용량이 1,500시시 초과 3,000시시 이하인 것",108496.1,1163086,17397.2,357319,805767
"2022-02","870324","실린더용량이 3,000시시를 초과하는 것",21892.5,349465,1690.5,72889,276576
"2022-02","870350","그 밖의 차량[압축점화식 피스톤 내연기관(디젤이나 세미디젤)과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것은 제외한다]",19.5,195,2739.7,64142,-63947
"2022-02","870360","그 밖의 차량(불꽃점화식 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것으로 한정한다)",6085.0,108645,2830.9,58105,50539
"2022-03","870323","실린더용량이 1,500시시 초과 3,000시시 이하인 것",115519.2,1206534,16798.3,355359,851175
"2022-03","870324","실린더용량이 3,000시시를 초과하는 것",27734.1,435338,1593.8,84721,350617
"2022-03","870350","그 밖의 차량[압축점화식 피스톤 내연기관(디젤이나 세미디젤)과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것은 제외한다]",13.3,67,3444.1,79790,-79722
"2022-03","870360","그 밖의 차량(불꽃점화식 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것으로 한정한다)",10476.6,170402,3593.1,75326,95076
"2022-04","870323","실린더용량이 1,500시시 초과 3,000시시 이하인 것",125322.3,1355259,15157.6,330818,1024441
"2022-04","870324","실린더용량이 3,000시시를 초과하는 것",33282.6,514952,3043.1,113811,401141
"2022-04","870350","그 밖의 차량[압축점화식 피스톤 내연기관(디젤이나 세미디젤)과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것은 제외한다]",19.5,272,2794.0,67428,-67156
"2022-04","870360","그 밖의 차량(불꽃점화식 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것으로 한정한다)",8312.9,130093,2220.1,49516,80576
"2022-05","870323","실린더용량이 1,500시시 초과 3,000시시 이하인 것",129028.2,1375503,20033.2,408479,967024
"2022-05","870324","실린더용량이 3,000시시를 초과하는 것",28269.4,428279,2567.9,101420,326859
"2022-05","870350","그 밖의 차량[압축점화식 피스톤 내연기관(디젤이나 세미디젤)과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것은 제외한다]",14.7,64,4953.3,114325,-114261
"2022-05","870360","그 밖의 차량(불꽃점화식 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것으로 한정한다)",12522.0,202859,2317.8,47385,155474
"2022-06","870323","실린더용량이 1,500시시 초과 3,000시시 이하인 것",108066.1,1206317,17178.1,321901,884415
